,Kategorie,Koordinaten,Name,Bildlizenz,Bild,Website,Adresse,Unesco-Seite,Latitude,Longitude,Karte
0,32,"[-34.91134, -57.94183]",Das architektonische Werk von Le Corbusier - ein herausragender Beitrag zur Moderne,"CC-BY-ND, Thomas Wolf, Wüstenrot Stiftung ",https://www.unesco.de/sites/default/files/styles/1280w/public/2018-01/Le-Corbusier_Weissenhofsiedlung_CC-BY-ND_Thomas-Wolf_Wuestenrot-Stiftung.jpg?itok=AhpzDO9M,https://www.stuttgart.de/weissenhof/index.php?p=menu&language=de,"Casa Curutchet, Calle 54, Barrio El Mondongo, La Plata, Partido de La Plata, Buenos Aires, B1900AMU, Argentina",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/das-architektonische-werk-von-le-corbusier-ein,48.79983,9.1777,"Das architektonische Werk von Le Corbusier - ein herausragender Beitrag zur Moderne,Weissenhofmuseum im Haus Le Corbusier, Rathenaustraße 1, 70191 Stuttgart,https://www.stuttgart.de/weissenhof/index.php?p=menu&language=de"
1,32,"[48.36754, 10.89754]",Augsburger Wassermanagement-System,Zehntausendgrad Videowerbung GmbH,https://www.unesco.de/sites/default/files/styles/400sq/public/2019-06/Augsburger%20Wassermanagement-System_c_ZEHNTAUSENDGRAD%20Videowerbung%20GmbH.jpg,https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/augsburger-wassermanagement-system,"Marc Cain Store, 19, Philippine-Welser-Straße, Innenstadt, St. Ulrich-Dom, Innenstadt, Augsburg, Bayern, 86150, Deutschland",https://www.unesco.de/node/2867,48.36754,10.89754,"Augsburger Wassermanagement-System,Augsburger Wassermanagement-System (UNESCO-Welterbestätte), 86152 Augsburg,https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/augsburger-wassermanagement-system"
2,32,"[50.71342, 13.57671]",Montanregion Erzgebirge/Krušnohoří,UNESCO / Jan Watzek,https://www.unesco.de/sites/default/files/styles/400sq/public/2019-07/Krušnohoří_c_UNESCO_Jan%20Watzek.jpg,https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/montanregion-erzgebirgekrusnohori,"Floßgrabenweg, Rechenberg, Waldeck, Rechenberg-Bienenmühle, Mittelsachsen, Sachsen, 09623, Deutschland",,50.71342,13.57671,"Montanregion Erzgebirge/Krušnohoří,Montanregion Erzgebirge/Krušnohoří - Weltkulturerbe, Brandov 11, 435 47 Brandov, Czechia,https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/montanregion-erzgebirgekrusnohori"
3,32,"[50.96674, 10.30665]",Wartburg,"CC-BY, Lencer, Commons Wiki",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Wartburg_von_Br%C3%BCcke_c_Lencer_alle%20Rechte%20vorbehalten.jpg?itok=-rTQm_jU,https://www.wartburg.de/de/,"Der Pummpälzweg, Zugbrücke, Gefilde, Eisenach, Thüringen, 99817, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/wartburg,50.96674,10.30665,"Wartburg,Rathaus Stralsund, Alter Markt, 18439 Stralsund,https://www.wartburg.de/de/"
4,32,"[49.24835, 6.84447]",Völklinger Hütte,"CC-BY-NC-ND 2.0, Tom Močička, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/16208688518_Voelklinger_H%C3%BCtte_Tom%20Mo%C4%8Di%C4%8Dka_Attribution-NonCommercial-NoDerivs%202.0%20Generic%20%28CC%20BY-NC-ND%202.0%29.jpg?itok=8K7NT9Sg,https://www.voelklinger-huette.org/willkommen/,"Weltkulturerbe Völklinger Hütte, 75-79, Rathausstraße, Wehrden, Völklingen, Regionalverband Saarbrücken, Saarland, 66333, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/voelklinger-huette,49.24835,6.84447,"Völklinger Hütte,Weltkulturerbe Völklinger Hütte, 75-79, Rathausstraße, Wehrden, Völklingen, Regionalverband Saarbrücken, Saarland, 66333, Deutschland,https://www.voelklinger-huette.org/willkommen/"
5,32,"[49.3172, 8.44223]",Speyerer Dom,"CC-BY-SA 3.0, BlueBreezeWiki",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Speyerer%20Dom_c_BlueBreezeWiki_CC%20BY-SA%203.0.jpg?itok=4aH7TpJ2,https://www.dom-zu-speyer.de/,"Dom zu Speyer, Edith-Stein-Platz, Speyer, Rheinland-Pfalz, 67346, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/speyerer-dom,49.3172,8.44223,"Speyerer Dom,Dom zu Speyer, Edith-Stein-Platz, Speyer, Rheinland-Pfalz, 67346, Deutschland,https://www.dom-zu-speyer.de/"
6,32,"[54.3025, 13.08528]",Altstädte von Stralsund und Wismar,"CC-BY-SA 4.0, W.Bulach, Wiki Commons ",https://www.unesco.de/sites/default/files/styles/1280w/public/2018-03/Stralsund_Alter-Markt_CC-BY-SA-4.0_W.Bulach_Commons-Wiki.jpg?itok=_xwWDSuo,https://www.wismar-stralsund.de/index.html,"Großer Frankenteich, Kalkofenweg, Franken Vorstadt, Franken, Stralsund, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18439, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/altstaedte-von-stralsund-und-wismar,54.3025,13.08528,"Altstädte von Stralsund und Wismar,Großer Frankenteich, Kalkofenweg, Franken Vorstadt, Franken, Stralsund, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18439, Deutschland,https://www.wismar-stralsund.de/index.html"
7,32,"[49.94437, 11.57828]",Markgräfliches Opernhaus Bayreuth,"CC-BY-SA 2.0, Manu, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/5214427821_Marktgr%C3%A4fischesOpernhausBayreuth_Manu_Attribution-ShareAlike%202.0%20Generic%20%28CC%20BY-SA%202.0%29.jpg?itok=zBnDdarF,http://www.bayreuth-wilhelmine.de/deutsch/opernh/index.htm,"Markgräfliches Opernhaus, 14, Opernstraße, Westliche Innenstadt, City, Bayreuth, Bayern, 95444, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/markgraefliches-opernhaus-bayreuth,49.94437,11.57828,"Markgräfliches Opernhaus Bayreuth,Markgräfliches Opernhaus, 14, Opernstraße, Westliche Innenstadt, City, Bayreuth, Bayern, 95444, Deutschland,http://www.bayreuth-wilhelmine.de/deutsch/opernh/index.htm"
8,32,"[50.94128, 6.95828]",Kölner Dom,"CC-BY-NC-ND 2.0, Loris Paleari, Flickr ",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/23066797623_%20K%C3%B6lner%20Dom_Loris%20Paleari%20_Attribution-NonCommercial-NoDerivs%202.0%20Generic%20%28CC%20BY-NC-ND%202.0%29.jpg?itok=8jUenqEc,https://www.koelner-dom.de/home/,"Kölner Dom, 4, Domkloster, Kunibertsviertel, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50667, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/koelner-dom,50.94128,6.95828,"Kölner Dom,Kölner Dom, 4, Domkloster, Kunibertsviertel, Altstadt-Nord, Innenstadt, Köln, Nordrhein-Westfalen, 50667, Deutschland,https://www.koelner-dom.de/home/"
9,32,"[52.51973, 13.39837]",Museumsinsel Berlin,"CC-BY-SA 3.0, Thomas Wolf, Commons Wiki",https://www.unesco.de/sites/default/files/styles/1280w/public/2017-12/Berlin_Museumsinsel_Fernsehturm_c_Thomas%20Wolf_CC%20BY-SA%203.0.jpg?itok=Wkxf_fem,https://www.smb.museum/home.html,"Museumsinsel, Am Kupfergraben, Spandauer Vorstadt, Mitte, Berlin, 10117, Deutschland",https://www.unesco.de/kultur-und-natur/welterbe/welterbe-deutschland/museumsinsel-berlin,52.51973,13.39837,"Museumsinsel Berlin,Museumsinsel, Am Kupfergraben, Spandauer Vorstadt, Mitte, Berlin, 10117, Deutschland,https://www.smb.museum/home.html"
